,Company_Name,Rcmd_Name,Score
6612,aequus pharmaceuticals inc.,"anebulo pharmaceuticals, inc.",0.83
982,pjx resources inc.,eog resources inc.,0.83
9708,"dare bioscience, inc.","pardes biosciences, inc.",0.83
9740,technology & telecommunication acq corp,technology & telecommunication acquisition corp,0.83
1460,airbnb inc,"airbnb, inc.",0.83
10679,western troy capital resources inc.,western capital resources inc,0.83
13757,"par pharmaceutical, inc.","paratek pharmaceuticals, inc.",0.83
9469,"cns pharmaceuticals, inc.","dicerna pharmaceuticals, inc.",0.83
1496,the simply good foods company,the simply good foods co,0.83
7056,ecofin sustainable & social imp term fd,ecofin sustainable and social impact term fund,0.83
13079,"morgan stanley india invest. fd, inc.",morgan stanley india investment fund inc.,0.83
9832,"aridis pharmaceuticals, inc.","salarius pharmaceuticals, inc.",0.83
11471,nuveen tax-advantaged div growth fd,nuveen tax-advantaged dividend growth fund,0.83
4353,"mirum pharmaceuticals, inc.","actinium pharmaceuticals, inc.",0.83
7921,"alpha metallurgical resources, inc.",alpha metallurgical resources,0.83
13323,malaga financial corporation,mackinac financial corporation,0.83
11762,origin therapeutics holdings inc.,"coeptis therapeutics holdings, inc.",0.83
13434,firstime design limited,firstime design ltd,0.83
11850,alliance entertainment holding corp,alliance entertainment holding corporation,0.83
8126,mdb capital holdings llc,mma capital holdings inc,0.83
4256,"forma therapeutics holdings, inc.","coeptis therapeutics holdings, inc.",0.83
4769,first real estate investment trust of nj,first real estate investment trust of new jersey,0.83
5205,cognizant technology solutions corp.,cognizant technology solutions corporation,0.83
9150,flj group limited,wejo group limited,0.83
11257,abrdn life sciences investors,tekla life sciences investors,0.83
7706,american equity investment life hldg co,american equity investment life holding company,0.83
1027,bank of idaho holding co.,bank of idaho holding company,0.83
2629,edgewell personal care company,edgewell personal care co,0.83
9034,milestone pharmaceuticals inc.,alexion pharmaceuticals inc.,0.83
11585,"adams diversified equity fund, inc.",adams diversified equity fund,0.83
4017,hanwei energy services corp.,pioneer energy services corp.,0.83
4122,forza petroleum limited,forza petroleum ltd,0.83
156,inmed pharmaceuticals inc.,ironwood pharmaceuticals inc.,0.83
8839,pepperlime health acquisition corp.,pepperlime health acquisition corporation,0.83
9983,"par pharmaceutical, inc.","paratek pharmaceuticals, inc.",0.83
2298,aurinia pharmaceuticals inc.,infinity pharmaceuticals inc.,0.83
12803,primavera capital acquisition corp.,primavera capital acquisition corporation,0.83
2739,"sterling bancorp, inc.",sterling bancorp inc/mi,0.83
8566,american riviera bancorp,american riviera bank,0.83
7448,aurora solar technologies inc.,ascent solar technologies inc.,0.83
4609,orosur mining inc.,coeur mining inc.,0.83
2088,nuveen multi-asset income,nuveen multi-asset income fund,0.83
2153,medirom healthcare technologies inc.,ge healthcare technologies inc.,0.83
11788,eve mobility acquisition corp.,live oak mobility acquisition corp.,0.83
11329,minority equality opportunities acq inc.,minority equality opportunities acquisition inc.,0.83
12944,calamos investments,calamos investments llc,0.83
171,"eagle pharmaceuticals, inc.","anebulo pharmaceuticals, inc.",0.83
4181,xtract one technologies inc.,retractable technologies inc.,0.83
11899,"atlas financial holdings, inc.","assetmark financial holdings, inc.",0.82
1566,"atlas air worldwide holdings, inc.",atlas air worldwide holdings,0.82
10487,duddell street acquisition corporation,newbury street acquisition corporation,0.82
7640,"the hanover insurance group, inc.","the baldwin insurance group, inc.",0.82
1577,s2 minerals inc.,phx minerals inc.,0.82
11178,energy services of america corp.,energy services of america corporation,0.82
13488,live oak crestview climate acq. corp.,live oak crestview climate acquisition corp.,0.82
769,gold reserve inc.,gold reserve ltd.,0.82
10536,damara gold corp.,dakota gold corp.,0.82
10931,coastal capital acquisition corp.,denali capital acquisition corp.,0.82
5473,fathom digital manufacturing corp,fathom digital manufacturing corporation,0.82
9389,ffd financial corporation,fulton financial corporation,0.82
7775,john hancock municipal securities trust,john hancock income securities trust,0.82
1181,frontier community bancshares inc.,first community bancshares inc.,0.82
13087,blackrock long-term muni advantage tr,blackrock long-term municipal advantage trust,0.82
8683,welsbach technology metals acq corp.,welsbach technology metals acquisition corp.,0.82
2101,"box, inc.","boxed, inc.",0.82
10589,"horizon bancorp, inc.",horizon bancorp inc/az,0.82
2545,boston sand & gravel company,boston sand & gravel co,0.82
4976,gannett co inc,"gannett co., inc.",0.82
10216,european sustainable growth acq corp.,european sustainable growth acquisition corp.,0.82
11966,games & esports experience acq corp.,games & esports experience acquisition corp.,0.82
13047,blackrock ltd duration income tr,blackrock limited duration income trust,0.82
13050,blackrock income trust inc.,blackrock income trust inc. (the),0.82
3320,"mexico equity and income fund, inc.",mexico equity and income fund inc. (the),0.82
7625,abc technologies holdings inc.,"advent technologies holdings, inc.",0.82
10313,dfp healthcare acquisitions corp.,gardiner healthcare acquisitions corp.,0.82
4662,ares commercial real estate corp,ares commercial real estate corporation,0.82
11621,mercato partners acquisition corp.,mercato partners acquisition corporation,0.82
9308,permex petroleum corporation,empire petroleum corporation,0.82
11998,acerus pharmaceuticals corporation,dmk pharmaceuticals corporation,0.82
6675,blackrock capital investment corporation,blackrock capital investment corp.,0.82
10501,franklin financial services corporation,franklin financial services corp,0.82
6464,wns (holdings) limited,wsp holdings limited,0.82
8085,pearl holdings acquisition corp,breeze holdings acquisition corp.,0.82
5386,northern revival acquisition corp.,northern revival acquisition corporation,0.82
9173,fb financial corporation,stifel financial corporation,0.82
3225,blackstone secured lending fund (bxsl),blackstone secured lending fund,0.82
12518,zovio inc,"zovio, inc.",0.82
13136,eaton vance ca municipal income trust,eaton vance california municipal income trust,0.82
11512,amci acquisition corp. ii,vectoiq acquisition corp. ii,0.82
5624,"rivian automotive, inc.","rivian automotive, inc. / de",0.82
1108,"peoples bancorp, inc.",peoples bancorp inc/md,0.82
13503,"cnb financial services, inc.","citizens financial services, inc.",0.82
1322,mdf commerce inc.,sps commerce inc.,0.82
2387,"church & dwight co., inc.",church & dwight company inc.,0.82
7460,"cdk global, inc.","ciso global, inc.",0.82
11278,silver dollar resources inc.,"silver bull resources, inc.",0.82
10770,capstar special purpose acquisition corp,tcw special purpose acquisition corp.,0.82
456,kairous acquisition corp. limited,cactus acquisition corp. 1 limited,0.82
6113,"varian medical systems, inc.",merit medical systems inc.,0.82
11722,franklin credit management corporation,franklin credit management corp,0.82
7070,gear energy ltd.,genie energy ltd.,0.82
11712,greenville federal financial corporation,greenville federal financial corp,0.82
7841,clearbridge mlp & midstream total return,clearbridge mlp & midstream total return fund inc,0.82
10788,silvercrest asset mgmt group inc,silvercrest asset management group inc.,0.82
12659,blackrock science and technology term tr,blackrock science & technology trust,0.82
11711,knightswan acquisition corporation,lightjump acquisition corporation,0.82
80,ault disruptive technologies corp,ault disruptive technologies corporation,0.82
7994,"akebia therapeutics, inc.","cartesian therapeutics, inc.",0.82
12575,mpx international corporation,standex international corporation,0.82
8949,olympia financial group inc.,summit financial group inc.,0.82
5194,global business travel group,"global business travel group, inc.",0.82
4028,marriott vacations worldwide corporation,marriott vacations worldwide corp,0.82
7022,newbury street acquisition corp.,newbury street acquisition corporation,0.82
13893,jaws spitfire acquisition corporation,jaws mustang acquisition corporation,0.81
8390,diffusion pharmaceuticals inc.,"recursion pharmaceuticals, inc.",0.81
8549,quanex building products corp,quanex building products corporation,0.81
8882,southwest airlines co.,southwest airlines company,0.81
6137,pegasus digital mobility acq corp.,pegasus digital mobility acquisition corp.,0.81
11804,"aldeyra therapeutics, inc.","entero therapeutics, inc.",0.81
10057,gogold resources inc.,eog resources inc.,0.81
10724,cb scientific inc.,"core scientific, inc.",0.81
4063,avila energy corporation,alliant energy corporation,0.81
9984,american oncology network,"american oncology network, inc.",0.81
5113,ovid therapeutics inc.,"poseida therapeutics, inc.",0.81
4107,enlivex therapeutics ltd.,"enliven therapeutics, inc.",0.81
13373,"andover bancorp, inc.-ohio",andover bancorp inc/oh,0.81
13375,austerlitz acquisition corp ii,austerlitz acquisition corporation ii,0.81
904,"axsome therapeutics, inc.","allogene therapeutics, inc.",0.81
5024,dodge & cox int'l/global stock fund,dodge & cox international stock fund,0.81
2914,"hope bancorp, inc.","hanover bancorp, inc.",0.81
11165,sustainable development acq i corp.,sustainable development acquisition i corp.,0.81
12489,"rexahn pharmaceuticals, inc.","recursion pharmaceuticals, inc.",0.81
972,teryl resources corp.,targa resources corp,0.81
7714,wellfield technologies inc.,westell technologies inc.,0.81
