,Company_Name,Rcmd_Name,Score
4317,asa gold and precious metals limited,asa gold and precious metals limited,1.0
13284,"cargo therapeutics, inc.","cargo therapeutics, inc.",1.0
4295,"minim, inc.","minim, inc.",1.0
13280,u.s. goldmining inc.,u.s. goldmining inc.,1.0
4701,franklin bsp capital corporation,franklin bsp capital corporation,1.0
212,"omniab, inc.","omniab, inc.",1.0
4309,huntsman corporation,huntsman corporation,1.0
4312,edoc acquisition corp.,edoc acquisition corp.,1.0
4314,"mannatech, incorporated","mannatech, incorporated",1.0
2102,"independence contract drilling, inc.","independence contract drilling, inc.",1.0
13258,"bbq holdings, inc.","bbq holdings, inc.",1.0
2100,ultragenyx pharmaceutical inc.,ultragenyx pharmaceutical inc.,1.0
264,bunge global sa,bunge global sa,1.0
4700,kellanova,kellanova,1.0
13090,opal fuels inc.,opal fuels inc.,1.0
256,capital bancorp inc,capital bancorp inc,1.0
1993,"dime community bancshares, inc.","dime community bancshares, inc.",1.0
2001,trio-tech international,trio-tech international,1.0
13116,"bny mellon strategic municipals, inc.","bny mellon strategic municipals, inc.",1.0
13117,the gdl fund,the gdl fund,1.0
4710,gitlab inc.,gitlab inc.,1.0
4663,first interstate bancsystem inc.,first interstate bancsystem inc.,1.0
255,packaging corporation of america,packaging corporation of america,1.0
2006,perdoceo education corporation,perdoceo education corporation,1.0
4693,"globalstar, inc.","globalstar, inc.",1.0
4676,global blockchain acquisition corp.,global blockchain acquisition corp.,1.0
4678,"overseas shipholding group, inc.","overseas shipholding group, inc.",1.0
4680,universal corporation,universal corporation,1.0
13129,"convey health solutions holdings, inc.","convey health solutions holdings, inc.",1.0
4691,corcept therapeutics incorporated,corcept therapeutics incorporated,1.0
263,newell brands inc.,newell brands inc.,1.0
4692,"alto ingredients, inc.","alto ingredients, inc.",1.0
4255,"doubleverify holdings, inc.","doubleverify holdings, inc.",1.0
247,"advent technologies holdings, inc.","advent technologies holdings, inc.",1.0
4591,unity software inc.,unity software inc.,1.0
3926,the scotts miracle-gro company,the scotts miracle-gro company,1.0
174,"selectquote, inc.","selectquote, inc.",1.0
3916,southwestern energy company,southwestern energy company,1.0
3918,"sofi technologies, inc.","sofi technologies, inc.",1.0
3921,lsi industries inc.,lsi industries inc.,1.0
3784,lakeland financial corporation,lakeland financial corporation,1.0
2180,veeco instruments inc.,veeco instruments inc.,1.0
2179,"loandepot, inc.","loandepot, inc.",1.0
3928,boston scientific corporation,boston scientific corporation,1.0
3912,"surgalign holdings, inc.","surgalign holdings, inc.",1.0
3936,"composecure, inc.","composecure, inc.",1.0
3940,"riskon international, inc.","riskon international, inc.",1.0
3943,"carparts.com, inc.","carparts.com, inc.",1.0
3944,primeenergy resources corporation,primeenergy resources corporation,1.0
3866,tonix pharmaceuticals holding corp.,tonix pharmaceuticals holding corp.,1.0
3865,old national bancorp,old national bancorp,1.0
3861,global payments inc.,global payments inc.,1.0
3915,viveon health acquisition corp.,viveon health acquisition corp.,1.0
3887,"claros mortgage trust, inc.","claros mortgage trust, inc.",1.0
4639,arisz acquisition corp.,arisz acquisition corp.,1.0
3716,taylor morrison home corporation,taylor morrison home corporation,1.0
3685,"montauk renewables, inc.","montauk renewables, inc.",1.0
2221,acv auctions inc.,acv auctions inc.,1.0
3723,26 capital acquisition corp.,26 capital acquisition corp.,1.0
3700,"nuance communications, inc.","nuance communications, inc.",1.0
3706,lxp industrial trust,lxp industrial trust,1.0
3709,nvidia corporation,nvidia corporation,1.0
2217,bellerophon therapeutics inc,bellerophon therapeutics inc,1.0
2216,"syntec optics holdings, inc.","syntec optics holdings, inc.",1.0
3879,pennantpark investment corporation,pennantpark investment corporation,1.0
3718,cms energy corporation,cms energy corporation,1.0
3721,"array technologies, inc.","array technologies, inc.",1.0
3775,"plby group, inc.","plby group, inc.",1.0
3778,winvest acquisition corp.,winvest acquisition corp.,1.0
3783,urstadt biddle properties inc.,urstadt biddle properties inc.,1.0
3919,paylocity holding corporation,paylocity holding corporation,1.0
3877,biovie inc.,biovie inc.,1.0
3860,garrett motion inc.,garrett motion inc.,1.0
3789,focus impact acquisition corp.,focus impact acquisition corp.,1.0
13499,"dnp select income fund, inc.","dnp select income fund, inc.",1.0
4623,southpoint bancshares inc,southpoint bancshares inc,1.0
13170,dlh holdings corp.,dlh holdings corp.,1.0
4594,lucid diagnostics inc.,lucid diagnostics inc.,1.0
4603,rallybio corporation,rallybio corporation,1.0
4605,finance of america companies inc.,finance of america companies inc.,1.0
2018,slr senior investment corp.,slr senior investment corp.,1.0
4615,western copper and gold corporation,western copper and gold corporation,1.0
4617,"berkshire grey, inc.","berkshire grey, inc.",1.0
4590,"reborn coffee, inc.","reborn coffee, inc.",1.0
3792,american tower corporation,american tower corporation,1.0
2015,prokidney corp.,prokidney corp.,1.0
4630,egain corporation,egain corporation,1.0
2014,mobile infrastructure corporation,mobile infrastructure corporation,1.0
4633,archaea energy inc.,archaea energy inc.,1.0
4634,"brightspire capital, inc.","brightspire capital, inc.",1.0
2011,"universal logistics holdings, inc.","universal logistics holdings, inc.",1.0
13149,perella weinberg partners,perella weinberg partners,1.0
248,ultralife corporation,ultralife corporation,1.0
13159,the monarch cement company,the monarch cement company,1.0
4254,target corporation,target corporation,1.0
4248,western alliance bancorporation,western alliance bancorporation,1.0
3794,miromatrix medical inc.,miromatrix medical inc.,1.0
13496,sugar creek financial corp,sugar creek financial corp,1.0
163,"mcrae industries, inc.","mcrae industries, inc.",1.0
13494,carmell corporation,carmell corporation,1.0
3799,accuray incorporated,accuray incorporated,1.0
13492,"mountain pacific bancorp, inc.","mountain pacific bancorp, inc.",1.0
3811,fs kkr capital corp.,fs kkr capital corp.,1.0
3831,"on24, inc.","on24, inc.",1.0
13482,"medallia, inc.","medallia, inc.",1.0
3839,"leidos holdings, inc.","leidos holdings, inc.",1.0
2192,preformed line products company,preformed line products company,1.0
3855,"super league enterprise, inc.","super league enterprise, inc.",1.0
3857,"knightscope, inc.","knightscope, inc.",1.0
3859,"assembly biosciences, inc.","assembly biosciences, inc.",1.0
4241,seastar medical holding corporation,seastar medical holding corporation,1.0
2098,"atlas technical consultants, inc.","atlas technical consultants, inc.",1.0
4345,"allurion technologies, inc.","allurion technologies, inc.",1.0
3672,"c4 therapeutics, inc.","c4 therapeutics, inc.",1.0
2422,ascent industries co.,ascent industries co.,1.0
2875,turnstone biologics corp.,turnstone biologics corp.,1.0
2876,"emmaus life sciences, inc.","emmaus life sciences, inc.",1.0
2425,sierra bancorp,sierra bancorp,1.0
2920,quantum-si incorporated,quantum-si incorporated,1.0
2893,milestone scientific inc.,milestone scientific inc.,1.0
2896,mastercraft boat holdings inc,mastercraft boat holdings inc,1.0
2899,electronic arts inc.,electronic arts inc.,1.0
2906,data storage corporation,data storage corporation,1.0
2429,"keysight technologies, inc.","keysight technologies, inc.",1.0
2908,"lulu's fashion lounge holdings, inc.","lulu's fashion lounge holdings, inc.",1.0
2911,cytodyn inc.,cytodyn inc.,1.0
2919,"livewire group, inc.","livewire group, inc.",1.0
3008,"actinium pharmaceuticals, inc.","actinium pharmaceuticals, inc.",1.0
3013,boyd gaming corporation,boyd gaming corporation,1.0
3014,"invivyd, inc.","invivyd, inc.",1.0
2380,"magnite, inc.","magnite, inc.",1.0
2873,"wynn resorts, limited","wynn resorts, limited",1.0
2864,united parks & resorts inc.,united parks & resorts inc.,1.0
3094,"south atlantic bancshares, inc.","south atlantic bancshares, inc.",1.0
13864,loyalty ventures inc.,loyalty ventures inc.,1.0
2975,ftac zeus acquisition corp.,ftac zeus acquisition corp.,1.0
2413,kewaunee scientific corporation,kewaunee scientific corporation,1.0
2983,quidelortho corporation,quidelortho corporation,1.0
2985,trimble inc.,trimble inc.,1.0
2400,fastenal company,fastenal company,1.0
2997,ibex limited,ibex limited,1.0
2399,simmons first national corporation,simmons first national corporation,1.0
3001,"pubmatic, inc.","pubmatic, inc.",1.0
2433,orion office reit inc.,orion office reit inc.,1.0
3003,"tenax therapeutics, inc.","tenax therapeutics, inc.",1.0
2943,truist financial corporation,truist financial corporation,1.0
2416,"interpace biosciences, inc.","interpace biosciences, inc.",1.0
2371,"sculptor capital management, inc.","sculptor capital management, inc.",1.0
2882,"weave communications, inc.","weave communications, inc.",1.0
2857,equity commonwealth,equity commonwealth,1.0
2859,u-haul holding company,u-haul holding company,1.0
73,jfrog ltd,jfrog ltd,1.0
74,"hci group, inc.","hci group, inc.",1.0
13265,dogwood state bank,dogwood state bank,1.0
3056,eightco holdings inc.,eightco holdings inc.,1.0
3022,bright horizons family solutions inc.,bright horizons family solutions inc.,1.0
3028,"sonendo, inc.","sonendo, inc.",1.0
69,ethan allen interiors inc.,ethan allen interiors inc.,1.0
3036,carpenter technology corporation,carpenter technology corporation,1.0
3041,deere & company,deere & company,1.0
3046,las vegas sands corp.,las vegas sands corp.,1.0
70,sysco corporation,sysco corporation,1.0
71,csx corporation,csx corporation,1.0
3020,vor biopharma inc.,vor biopharma inc.,1.0
3065,sphere entertainment co.,sphere entertainment co.,1.0
3068,torrid holdings inc.,torrid holdings inc.,1.0
3074,celanese corporation,celanese corporation,1.0
2386,baker hughes company,baker hughes company,1.0
3079,ark restaurants corp.,ark restaurants corp.,1.0
13837,state auto financial corporation,state auto financial corporation,1.0
2435,alerus financial corporation,alerus financial corporation,1.0
3021,cornerstone community bancorp,cornerstone community bancorp,1.0
2385,benessere capital acquisition corp.,benessere capital acquisition corp.,1.0
3100,william penn bancorporation,william penn bancorporation,1.0
3121,"senti biosciences, inc.","senti biosciences, inc.",1.0
3101,scworx corp.,scworx corp.,1.0
2382,"chinook therapeutics, inc.","chinook therapeutics, inc.",1.0
3109,excelfin acquisition corp,excelfin acquisition corp,1.0
13823,chp merger corp.,chp merger corp.,1.0
3117,liquidia corporation,liquidia corporation,1.0
3017,ladder capital corp,ladder capital corp,1.0
3118,kkr acquisition holdings i corp.,kkr acquisition holdings i corp.,1.0
3124,guild holdings company,guild holdings company,1.0
3084,"dt midstream, inc.","dt midstream, inc.",1.0
3133,"the realreal, inc.","the realreal, inc.",1.0
76,new peoples bankshares inc,new peoples bankshares inc,1.0
2374,royalty pharma plc,royalty pharma plc,1.0
77,franklin bsp lending corporation,franklin bsp lending corporation,1.0
3147,"daybreak oil and gas, inc.","daybreak oil and gas, inc.",1.0
3087,"entrada therapeutics, inc.","entrada therapeutics, inc.",1.0
3085,"fate therapeutics, inc.","fate therapeutics, inc.",1.0
2969,"adma biologics, inc.","adma biologics, inc.",1.0
2957,"cantaloupe, inc.","cantaloupe, inc.",1.0
2955,"aprea therapeutics, inc.","aprea therapeutics, inc.",1.0
13218,oconee financial corporation,oconee financial corporation,1.0
13293,suncrest bank,suncrest bank,1.0
4279,"1stdibs.com, inc.","1stdibs.com, inc.",1.0
209,i-80 gold corp.,i-80 gold corp.,1.0
13290,sagimet biosciences inc.,sagimet biosciences inc.,1.0
2097,granite construction incorporated,granite construction incorporated,1.0
2095,pinnacle west capital corporation,pinnacle west capital corporation,1.0
4475,fluor corporation,fluor corporation,1.0
4432,"equus total return, inc.","equus total return, inc.",1.0
13296,"disc medicine, inc.","disc medicine, inc.",1.0
4433,cabot corporation,cabot corporation,1.0
4437,united states cellular corporation,united states cellular corporation,1.0
4438,p3 health partners inc.,p3 health partners inc.,1.0
4439,pasithea therapeutics corp.,pasithea therapeutics corp.,1.0
4446,the odp corporation,the odp corporation,1.0
4450,alamo group inc.,alamo group inc.,1.0
13219,redwood capital bancorp,redwood capital bancorp,1.0
13294,"digital media solutions, inc.","digital media solutions, inc.",1.0
4275,associated banc-corp,associated banc-corp,1.0
2952,prospect capital corporation,prospect capital corporation,1.0
4261,trustmark corporation,trustmark corporation,1.0
4346,"liveperson, inc.","liveperson, inc.",1.0
4352,"dream finders homes, inc.","dream finders homes, inc.",1.0
4354,wvs financial corp.,wvs financial corp.,1.0
4287,"pinterest, inc.","pinterest, inc.",1.0
4285,union pacific corporation,union pacific corporation,1.0
4283,prospect capital corporation,prospect capital corporation,1.0
4281,molson coors beverage company,molson coors beverage company,1.0
4262,acacia research corporation,acacia research corporation,1.0
13299,woodsboro bank,woodsboro bank,1.0
4263,vornado realty trust,vornado realty trust,1.0
4265,altitude acquisition corp.,altitude acquisition corp.,1.0
4269,capstar financial holdings inc,capstar financial holdings inc,1.0
4270,pitney bowes inc.,pitney bowes inc.,1.0
4271,oppfi inc.,oppfi inc.,1.0
4274,"dimeco, inc.","dimeco, inc.",1.0
13300,firstsun capital bancorp,firstsun capital bancorp,1.0
4457,"vera therapeutics, inc.","vera therapeutics, inc.",1.0
13256,morgan stanley,morgan stanley,1.0
2075,costco wholesale corporation,costco wholesale corporation,1.0
2085,first busey corporation,first busey corporation,1.0
4382,inventrust properties corp.,inventrust properties corp.,1.0
224,"transcode therapeutics, inc.","transcode therapeutics, inc.",1.0
13241,kansas city life insurance company,kansas city life insurance company,1.0
4384,"hagerty, inc.","hagerty, inc.",1.0
4390,"alaunos therapeutics, inc.","alaunos therapeutics, inc.",1.0
225,spartannash company,spartannash company,1.0
4411,"albertsons companies, inc.","albertsons companies, inc.",1.0
3643,"corsair gaming, inc.","corsair gaming, inc.",1.0
13214,"altus power, inc.","altus power, inc.",1.0
13566,good works ii acquisition corp.,good works ii acquisition corp.,1.0
2235,amplify energy corp.,amplify energy corp.,1.0
2973,"chicago atlantic bdc, inc.","chicago atlantic bdc, inc.",1.0
13884,ferro corporation,ferro corporation,1.0
2948,"shattuck labs, inc.","shattuck labs, inc.",1.0
13880,"select water solutions, inc.","select water solutions, inc.",1.0
13879,eros media world plc,eros media world plc,1.0
4378,"u.s. well services, inc.","u.s. well services, inc.",1.0
4376,"vaxcyte, inc.","vaxcyte, inc.",1.0
13246,"acelyrin, inc.","acelyrin, inc.",1.0
4375,"banzai international, inc.","banzai international, inc.",1.0
13213,gb sciences inc,gb sciences inc,1.0
4470,hut 8 corp.,hut 8 corp.,1.0
4472,"t. rowe price group, inc.","t. rowe price group, inc.",1.0
4473,first republic bank,first republic bank,1.0
233,"trevena, inc.","trevena, inc.",1.0
4474,"phreesia, inc.","phreesia, inc.",1.0
4428,murphy oil corporation,murphy oil corporation,1.0
2079,huntington bancshares incorporated,huntington bancshares incorporated,1.0
4424,forest road acquisition corp. ii,forest road acquisition corp. ii,1.0
4415,lifevantage corporation,lifevantage corporation,1.0
4363,"nexgel, inc.","nexgel, inc.",1.0
13252,"capital properties, inc.","capital properties, inc.",1.0
4368,"core scientific, inc.","core scientific, inc.",1.0
2093,honeywell international inc.,honeywell international inc.,1.0
4373,acadia realty trust,acadia realty trust,1.0
3674,northview acquisition corporation,northview acquisition corporation,1.0
13554,first national bank of griffin,first national bank of griffin,1.0
13918,stamps.com inc.,stamps.com inc.,1.0
11163,etf series solutions,etf series solutions,1.0
11081,pacific enterprise bancorp,pacific enterprise bancorp,1.0
1008,"omega therapeutics, inc.","omega therapeutics, inc.",1.0
9360,"ayala pharmaceuticals, inc.","ayala pharmaceuticals, inc.",1.0
11076,professional holding corp,professional holding corp,1.0
9368,"sharkninja, inc.","sharkninja, inc.",1.0
11072,"olema pharmaceuticals, inc.","olema pharmaceuticals, inc.",1.0
9376,metallus inc.,metallus inc.,1.0
1047,eli lilly and company,eli lilly and company,1.0
11083,pimco income strategy fund ii,pimco income strategy fund ii,1.0
8999,"mirati therapeutics, inc.","mirati therapeutics, inc.",1.0
9039,sharing services global corporation,sharing services global corporation,1.0
11251,cf acquisition corp. vii,cf acquisition corp. vii,1.0
11248,"rocket companies, inc.","rocket companies, inc.",1.0
9048,century aluminum company,century aluminum company,1.0
9054,"cryoport, inc.","cryoport, inc.",1.0
11243,metrocity bankshares inc,metrocity bankshares inc,1.0
9357,transact technologies incorporated,transact technologies incorporated,1.0
671,"millerknoll, inc.","millerknoll, inc.",1.0
11241,quest resource holding corporation,quest resource holding corporation,1.0
9380,stonex group inc.,stonex group inc.,1.0
9466,"tattooed chef, inc.","tattooed chef, inc.",1.0
987,"pacira biosciences, inc.","pacira biosciences, inc.",1.0
9471,"star equity holdings, inc.","star equity holdings, inc.",1.0
11039,"coya therapeutics, inc.","coya therapeutics, inc.",1.0
9399,"select interior concepts, inc.","select interior concepts, inc.",1.0
9383,"clearpoint neuro, inc.","clearpoint neuro, inc.",1.0
9327,ohio valley banc corp.,ohio valley banc corp.,1.0
11095,"utz brands, inc.","utz brands, inc.",1.0
9339,catalyst partners acquisition corp.,catalyst partners acquisition corp.,1.0
1010,"fncb bancorp, inc.","fncb bancorp, inc.",1.0
9333,cosmos health inc.,cosmos health inc.,1.0
9334,first northwest bancorp,first northwest bancorp,1.0
9336,comsovereign holding corp,comsovereign holding corp,1.0
11090,cervomed inc.,cervomed inc.,1.0
11088,"trubridge, inc.","trubridge, inc.",1.0
11087,"xencor, inc.","xencor, inc.",1.0
11242,"near intelligence, inc.","near intelligence, inc.",1.0
9055,booking holdings inc.,booking holdings inc.,1.0
9149,"revvity, inc.","revvity, inc.",1.0
9019,first horizon corporation,first horizon corporation,1.0
9004,"rackspace technology, inc.","rackspace technology, inc.",1.0
9006,valero energy corporation,valero energy corporation,1.0
9008,lincoln national corporation,lincoln national corporation,1.0
643,zymergen inc.,zymergen inc.,1.0
11272,natixis funds trust ii,natixis funds trust ii,1.0
9017,"leggett & platt, incorporated","leggett & platt, incorporated",1.0
11268,bank of utica,bank of utica,1.0
9021,open lending corporation,open lending corporation,1.0
11281,colicity inc.,colicity inc.,1.0
11264,"forza x1, inc.","forza x1, inc.",1.0
1094,conocophillips,conocophillips,1.0
9027,"the oncology institute, inc.","the oncology institute, inc.",1.0
11260,franklin wireless corp,franklin wireless corp,1.0
650,american express company,american express company,1.0
9081,"galecto, inc.","galecto, inc.",1.0
1050,"frontier group holdings, inc.","frontier group holdings, inc.",1.0
641,pbf energy inc.,pbf energy inc.,1.0
9003,gateway bank fsb,gateway bank fsb,1.0
11239,cc neuberger principal holdings iii,cc neuberger principal holdings iii,1.0
9066,bank of marin bancorp,bank of marin bancorp,1.0
11238,enb financial corp,enb financial corp,1.0
11237,highland transcend partners i corp.,highland transcend partners i corp.,1.0
648,"sobr safe, inc.","sobr safe, inc.",1.0
11235,"iveric bio, inc.","iveric bio, inc.",1.0
9059,kimberly-clark corporation,kimberly-clark corporation,1.0
1089,lindsay corporation,lindsay corporation,1.0
9061,incyte corporation,incyte corporation,1.0
1084,"arlo technologies, inc.","arlo technologies, inc.",1.0
11283,"highpeak energy, inc.","highpeak energy, inc.",1.0
9072,"broadwind, inc.","broadwind, inc.",1.0
9042,"treace medical concepts, inc.","treace medical concepts, inc.",1.0
9028,"distribution solutions group, inc.","distribution solutions group, inc.",1.0
1083,lmp automotive holdings inc.,lmp automotive holdings inc.,1.0
11259,"third harmonic bio, inc.","third harmonic bio, inc.",1.0
11285,prospect capital corporation,prospect capital corporation,1.0
640,clean energy fuels corp.,clean energy fuels corp.,1.0
9463,hanmi financial corporation,hanmi financial corporation,1.0
9460,"helios technologies, inc.","helios technologies, inc.",1.0
9459,globalfoundries inc.,globalfoundries inc.,1.0
1020,copt defense properties,copt defense properties,1.0
9277,denbury inc.,denbury inc.,1.0
9278,topgolf callaway brands corp.,topgolf callaway brands corp.,1.0
11122,"janux therapeutics, inc.","janux therapeutics, inc.",1.0
11121,"epizyme, inc.","epizyme, inc.",1.0
9285,mcgrath rentcorp,mcgrath rentcorp,1.0
1021,zalatoris ii acquisition corp,zalatoris ii acquisition corp,1.0
9293,"citizens financial services, inc.","citizens financial services, inc.",1.0
9295,"volcon, inc.","volcon, inc.",1.0
9274,gatx corporation,gatx corporation,1.0
9296,atlantic american corporation,atlantic american corporation,1.0
11111,tpg pace solutions corp.,tpg pace solutions corp.,1.0
11110,"buzzfeed, inc.","buzzfeed, inc.",1.0
1016,oceantech acquisitions i corp.,oceantech acquisitions i corp.,1.0
9305,"trugolf holdings, inc.","trugolf holdings, inc.",1.0
1015,"symbolic logic, inc.","symbolic logic, inc.",1.0
669,"system1, inc.","system1, inc.",1.0
11126,esh acquisition corp.,esh acquisition corp.,1.0
9269,yellow corporation,yellow corporation,1.0
990,seacoast banking corporation of florida,seacoast banking corporation of florida,1.0
8548,umpqua holdings corporation,umpqua holdings corporation,1.0
8538,"dayforce, inc.","dayforce, inc.",1.0
1193,"synaptogenix, inc.","synaptogenix, inc.",1.0
11469,dynatronics corporation,dynatronics corporation,1.0
11467,widepoint corporation,widepoint corporation,1.0
11466,duet acquisition corp.,duet acquisition corp.,1.0
8542,"thorne healthtech, inc.","thorne healthtech, inc.",1.0
1191,community west bancshares,community west bancshares,1.0
1189,teradata corporation,teradata corporation,1.0
986,"cabaletta bio, inc.","cabaletta bio, inc.",1.0
600,rambus inc.,rambus inc.,1.0
8560,"plains all american pipeline, l.p.","plains all american pipeline, l.p.",1.0
8565,"spectral ai, inc.","spectral ai, inc.",1.0
8579,"rubicon technologies, inc.","rubicon technologies, inc.",1.0
8581,"bion environmental technologies, inc.","bion environmental technologies, inc.",1.0
8981,"new tripoli bancorp, inc.","new tripoli bancorp, inc.",1.0
11288,cortland bancorp,cortland bancorp,1.0
11101,mobile infrastructure corporation,mobile infrastructure corporation,1.0
9271,universal display corporation,universal display corporation,1.0
11131,"cogent biosciences, inc.","cogent biosciences, inc.",1.0
9409,3d systems corporation,3d systems corporation,1.0
1026,"avinger, inc.","avinger, inc.",1.0
670,greenidge generation holdings inc.,greenidge generation holdings inc.,1.0
9324,"mobile global esports, inc.","mobile global esports, inc.",1.0
1044,"affinity bancshares, inc.","affinity bancshares, inc.",1.0
9393,tenneco inc.,tenneco inc.,1.0
9406,terreno realty corporation,terreno realty corporation,1.0
11062,bsquare corporation,bsquare corporation,1.0
9418,cathay general bancorp,cathay general bancorp,1.0
1013,"smartrent, inc.","smartrent, inc.",1.0
11057,bannix acquisition corp.,bannix acquisition corp.,1.0
9421,"cassava sciences, inc.","cassava sciences, inc.",1.0
11055,connexa sports technologies inc.,connexa sports technologies inc.,1.0
996,lancaster colony corporation,lancaster colony corporation,1.0
995,"aeva technologies, inc.","aeva technologies, inc.",1.0
994,regional management corp.,regional management corp.,1.0
992,"vital energy, inc.","vital energy, inc.",1.0
9259,global partner acquisition corp ii,global partner acquisition corp ii,1.0
9242,"airsculpt technologies, inc.","airsculpt technologies, inc.",1.0
9241,five star bancorp,five star bancorp,1.0
11140,nuveen municipal credit income fund,nuveen municipal credit income fund,1.0
11132,paya holdings inc.,paya holdings inc.,1.0
11161,national vision holdings inc,national vision holdings inc,1.0
1041,loews corporation,loews corporation,1.0
11159,taitron components incorporated,taitron components incorporated,1.0
11158,primis financial corp.,primis financial corp.,1.0
9218,genuine parts company,genuine parts company,1.0
9220,dish network corporation,dish network corporation,1.0
9226,elme communities,elme communities,1.0
11152,"adhera therapeutics, inc.","adhera therapeutics, inc.",1.0
9233,peapack-gladstone financial corporation,peapack-gladstone financial corporation,1.0
9236,bancfirst corporation,bancfirst corporation,1.0
9237,cousins properties incorporated,cousins properties incorporated,1.0
11144,crucible acquisition corporation,crucible acquisition corporation,1.0
11143,kirby corporation,kirby corporation,1.0
662,pcb bancorp,pcb bancorp,1.0
1067,modine manufacturing company,modine manufacturing company,1.0
1065,"kyndryl holdings, inc.","kyndryl holdings, inc.",1.0
3656,primoris services corporation,primoris services corporation,1.0
13345,"trisalus life sciences, inc.","trisalus life sciences, inc.",1.0
4222,callon petroleum company,callon petroleum company,1.0
4223,"silver bull resources, inc.","silver bull resources, inc.",1.0
4224,bowman consulting group ltd.,bowman consulting group ltd.,1.0
4226,"mineralys therapeutics, inc.","mineralys therapeutics, inc.",1.0
4227,"psq holdings, inc.","psq holdings, inc.",1.0
4237,pds biotechnology corporation,pds biotechnology corporation,1.0
4172,apollo tactical income fund inc.,apollo tactical income fund inc.,1.0
4171,apollo senior floating rate fund inc.,apollo senior floating rate fund inc.,1.0
2123,"penn entertainment, inc.","penn entertainment, inc.",1.0
200,voxx international corporation,voxx international corporation,1.0
4106,"riot platforms, inc.","riot platforms, inc.",1.0
4109,ideal power inc.,ideal power inc.,1.0
4110,american superconductor corporation,american superconductor corporation,1.0
4115,veeva systems inc.,veeva systems inc.,1.0
4118,forward air corporation,forward air corporation,1.0
4121,"blend labs, inc.","blend labs, inc.",1.0
4219,3m company,3m company,1.0
4103,"autonomix medical, inc.","autonomix medical, inc.",1.0
4125,"cytek biosciences, inc.","cytek biosciences, inc.",1.0
4212,"oak ridge financial services, inc.","oak ridge financial services, inc.",1.0
4012,the planting hope company inc.,the planting hope company inc.,1.0
13412,"industrial tech acquisitions ii, inc.","industrial tech acquisitions ii, inc.",1.0
184,"tscan therapeutics, inc.","tscan therapeutics, inc.",1.0
4015,sealed air corporation,sealed air corporation,1.0
4094,"heliogen, inc.","heliogen, inc.",1.0
2145,horizon space acquisition i corp.,horizon space acquisition i corp.,1.0
4098,"kala bio, inc.","kala bio, inc.",1.0
13343,"spanish broadcasting system, inc.","spanish broadcasting system, inc.",1.0
13329,century financial corporation,century financial corporation,1.0
13342,"mondee holdings, inc.","mondee holdings, inc.",1.0
4176,zumiez inc.,zumiez inc.,1.0
4179,"azenta, inc.","azenta, inc.",1.0
4186,esco technologies inc.,esco technologies inc.,1.0
2131,inseego corp.,inseego corp.,1.0
4197,"leslie's, inc.","leslie's, inc.",1.0
4198,"c3.ai, inc.","c3.ai, inc.",1.0
